"Top values of prometheus.labels.route","@timestamp per 30 seconds","99th percentile (seconds)"
"/frontend/checkout-payment","09:12:00",0
"/frontend/checkout-payment","09:12:30",0
"/frontend/checkout-payment","09:13:00",0
"/frontend/checkout-payment","09:13:30",0
"/frontend/checkout-payment","09:14:00",0
"/frontend/checkout-payment","09:14:30",0
"/frontend/checkout-payment","09:15:00",0
"/frontend/checkout-payment","09:15:30",0
"/frontend/checkout-payment","09:16:00",0
"/frontend/checkout-payment","09:16:30",0
"/frontend/checkout-payment","09:17:00",0
"/frontend/checkout-payment","09:17:30",0
"/frontend/checkout-payment","09:18:00",0
"/frontend/checkout-payment","09:18:30",0
"/frontend/checkout-payment","09:19:00",0
"/frontend/checkout-payment","09:19:30","0.772"
"/frontend/checkout-payment","09:20:00","0.789"
"/frontend/checkout-payment","09:20:30","0.755"
"/frontend/checkout-payment","09:21:00","1.527"
"/frontend/checkout-payment","09:21:30","1.527"
"/frontend/checkout-payment","09:22:00","1.611"
"/frontend/checkout-payment","09:22:30","1.611"
"/frontend/checkout-payment","09:23:00","1.611"
"/frontend/checkout-payment","09:23:30","1.611"
"/frontend/checkout-payment","09:24:00","1.611"
"/frontend/checkout-payment","09:24:30","1.661"
"/frontend/checkout-payment","09:25:00","1.661"
"/frontend/checkout-payment","09:25:30","0.688"
"/frontend/checkout-payment","09:26:00","0.688"
"/frontend/checkout-payment","09:26:30","0.688"
"/frontend/checkout-payment","09:27:00","0.654"
"/user/products","09:12:00",0
"/user/products","09:12:30",0
"/user/products","09:13:00",0
"/user/products","09:13:30",0
"/user/products","09:14:00",0
"/user/products","09:14:30",0
"/user/products","09:15:00",0
"/user/products","09:15:30",0
"/user/products","09:16:00",0
"/user/products","09:16:30",0
"/user/products","09:17:00",0
"/user/products","09:17:30",0
"/user/products","09:18:00",0
"/user/products","09:18:30",0
"/user/products","09:19:00",0
"/user/products","09:19:30","0.062"
"/user/products","09:20:00","0.074"
"/user/products","09:20:30","0.973"
"/user/products","09:21:00","0.99"
"/user/products","09:21:30","0.99"
"/user/products","09:22:00","1.107"
"/user/products","09:22:30","1.107"
"/user/products","09:23:00","1.007"
"/user/products","09:23:30","1.007"
"/user/products","09:24:00","1.007"
"/user/products","09:24:30","1.007"
"/user/products","09:25:00","0.07"
"/user/products","09:25:30","0.07"
"/user/products","09:26:00","0.07"
"/user/products","09:26:30","0.07"
"/user/products","09:27:00","0.07"
"/metrics","09:12:00","0.003"
"/metrics","09:12:30","0.003"
"/metrics","09:13:00","0.003"
"/metrics","09:13:30","0.001"
"/metrics","09:14:00","0.001"
"/metrics","09:14:30","0.001"
"/metrics","09:15:00","0.003"
"/metrics","09:15:30","0.003"
"/metrics","09:16:00","0.003"
"/metrics","09:16:30","0.001"
"/metrics","09:17:00","0.001"
"/metrics","09:17:30","0.001"
"/metrics","09:18:00","0.001"
"/metrics","09:18:30","0.001"
"/metrics","09:19:00","0.001"
"/metrics","09:19:30","0.001"
"/metrics","09:20:00","0.001"
"/metrics","09:20:30","0.001"
"/metrics","09:21:00","0.005"
"/metrics","09:21:30","0.005"
"/metrics","09:22:00","0.002"
"/metrics","09:22:30","0.002"
"/metrics","09:23:00","0.001"
"/metrics","09:23:30","0.001"
"/metrics","09:24:00","0.002"
"/metrics","09:24:30","0.004"
"/metrics","09:25:00","0.005"
"/metrics","09:25:30","0.005"
"/metrics","09:26:00","0.002"
"/metrics","09:26:30","0.002"
"/metrics","09:27:00","0.002"
Other,"09:12:00",0
Other,"09:12:30",0
Other,"09:13:00",0
Other,"09:13:30",0
Other,"09:14:00",0
Other,"09:14:30",0
Other,"09:15:00",0
Other,"09:15:30",0
Other,"09:16:00",0
Other,"09:16:30",0
Other,"09:17:00",0
Other,"09:17:30",0
Other,"09:18:00",0
Other,"09:18:30",0
Other,"09:19:00",0
Other,"09:19:30",0
Other,"09:20:00",0
Other,"09:20:30","0.001"
Other,"09:21:00","0.001"
Other,"09:21:30","0.001"
Other,"09:22:00",0
Other,"09:22:30",0
Other,"09:23:00",0
Other,"09:23:30",0
Other,"09:24:00",0
Other,"09:24:30","0.001"
Other,"09:25:00","0.001"
Other,"09:25:30","0.001"
Other,"09:26:00",0
Other,"09:26:30",0
Other,"09:27:00",0
