"Top values of kubernetes.deployment.name","@timestamp per 30 seconds","99th percentile of node cpu usage (%)"
"currency-service","09:57:30","0.10%"
"currency-service","09:58:00","0.10%"
"currency-service","09:58:30","0.10%"
"currency-service","09:59:00","0.10%"
"currency-service","09:59:30","0.10%"
"currency-service","10:00:00","0.10%"
"currency-service","10:00:30","0.10%"
"currency-service","10:01:00","0.10%"
"currency-service","10:01:30","0.10%"
"currency-service","10:02:00","0.10%"
"currency-service","10:02:30","0.10%"
"currency-service","10:03:00","0.10%"
"currency-service","10:03:30","0.40%"
"currency-service","10:04:00","6.30%"
"currency-service","10:04:30","6.30%"
"currency-service","10:05:00","6.60%"
"currency-service","10:05:30","16.30%"
"currency-service","10:06:00","36.50%"
"currency-service","10:06:30","35.50%"
"currency-service","10:07:00","40.00%"
"currency-service","10:07:30","36.10%"
"currency-service","10:08:00","36.60%"
"currency-service","10:08:30","34.70%"
"currency-service","10:09:00","37.20%"
"currency-service","10:09:30","38.00%"
"currency-service","10:10:00","38.50%"
"currency-service","10:10:30","18.10%"
"currency-service","10:11:00","6.70%"
"currency-service","10:11:30","6.60%"
"currency-service","10:12:00","6.40%"
"currency-service","10:12:30",
frontend,"09:57:30","0.10%"
frontend,"09:58:00","0.10%"
frontend,"09:58:30","0.10%"
frontend,"09:59:00","0.10%"
frontend,"09:59:30","0.10%"
frontend,"10:00:00","0.10%"
frontend,"10:00:30","0.10%"
frontend,"10:01:00","0.10%"
frontend,"10:01:30","0.10%"
frontend,"10:02:00","0.10%"
frontend,"10:02:30","0.10%"
frontend,"10:03:00","0.10%"
frontend,"10:03:30","0.20%"
frontend,"10:04:00","0.40%"
frontend,"10:04:30","0.40%"
frontend,"10:05:00","0.40%"
frontend,"10:05:30","0.60%"
frontend,"10:06:00","0.60%"
frontend,"10:06:30","0.30%"
frontend,"10:07:00","0.30%"
frontend,"10:07:30","0.30%"
frontend,"10:08:00","0.30%"
frontend,"10:08:30","0.30%"
frontend,"10:09:00","0.30%"
frontend,"10:09:30","0.30%"
frontend,"10:10:00","0.30%"
frontend,"10:10:30","0.40%"
frontend,"10:11:00","0.40%"
frontend,"10:11:30","0.40%"
frontend,"10:12:00","0.40%"
frontend,"10:12:30",
