"Top values of prometheus.labels.route","@timestamp per 30 seconds","99th percentile (seconds)"
"/frontend/checkout-payment","09:57:30",0
"/frontend/checkout-payment","09:58:00",0
"/frontend/checkout-payment","09:58:30",0
"/frontend/checkout-payment","09:59:00",0
"/frontend/checkout-payment","09:59:30",0
"/frontend/checkout-payment","10:00:00",0
"/frontend/checkout-payment","10:00:30",0
"/frontend/checkout-payment","10:01:00",0
"/frontend/checkout-payment","10:01:30",0
"/frontend/checkout-payment","10:02:00",0
"/frontend/checkout-payment","10:02:30",0
"/frontend/checkout-payment","10:03:00",0
"/frontend/checkout-payment","10:03:30","0.755"
"/frontend/checkout-payment","10:04:00","0.755"
"/frontend/checkout-payment","10:04:30","0.721"
"/frontend/checkout-payment","10:05:00","0.721"
"/frontend/checkout-payment","10:05:30","1.023"
"/frontend/checkout-payment","10:06:00","1.258"
"/frontend/checkout-payment","10:06:30","1.325"
"/frontend/checkout-payment","10:07:00","1.376"
"/frontend/checkout-payment","10:07:30","1.376"
"/frontend/checkout-payment","10:08:00","1.376"
"/frontend/checkout-payment","10:08:30","1.376"
"/frontend/checkout-payment","10:09:00","1.242"
"/frontend/checkout-payment","10:09:30","1.242"
"/frontend/checkout-payment","10:10:00","1.309"
"/frontend/checkout-payment","10:10:30","1.325"
"/frontend/checkout-payment","10:11:00","1.325"
"/frontend/checkout-payment","10:11:30","0.721"
"/frontend/checkout-payment","10:12:00","0.721"
"/frontend/checkout-payment","10:12:30","0.721"
"/convert","09:57:30",0
"/convert","09:58:00",0
"/convert","09:58:30",0
"/convert","09:59:00",0
"/convert","09:59:30",0
"/convert","10:00:00",0
"/convert","10:00:30",0
"/convert","10:01:00",0
"/convert","10:01:30",0
"/convert","10:02:00",0
"/convert","10:02:30",0
"/convert","10:03:00",0
"/convert","10:03:30","0.109"
"/convert","10:04:00","0.109"
"/convert","10:04:30","0.113"
"/convert","10:05:00","0.113"
"/convert","10:05:30","0.621"
"/convert","10:06:00","0.755"
"/convert","10:06:30","0.83"
"/convert","10:07:00","0.83"
"/convert","10:07:30","0.856"
"/convert","10:08:00","0.856"
"/convert","10:08:30","0.856"
"/convert","10:09:00","0.789"
"/convert","10:09:30","0.789"
"/convert","10:10:00","0.856"
"/convert","10:10:30","0.105"
"/convert","10:11:00","0.105"
"/convert","10:11:30","0.105"
"/convert","10:12:00","0.105"
"/metrics","09:57:30","0.001"
"/metrics","09:58:00","0.001"
"/metrics","09:58:30","0.001"
"/metrics","09:59:00","0.001"
"/metrics","09:59:30","0.001"
"/metrics","10:00:00","0.001"
"/metrics","10:00:30","0.002"
"/metrics","10:01:00","0.002"
"/metrics","10:01:30","0.002"
"/metrics","10:02:00","0.002"
"/metrics","10:02:30","0.001"
"/metrics","10:03:00","0.001"
"/metrics","10:03:30","0.001"
"/metrics","10:04:00","0.001"
"/metrics","10:04:30","0.001"
"/metrics","10:05:00","0.001"
"/metrics","10:05:30","0.001"
"/metrics","10:06:00","0.006"
"/metrics","10:06:30","0.006"
"/metrics","10:07:00","0.006"
"/metrics","10:07:30","0.006"
"/metrics","10:08:00","0.003"
"/metrics","10:08:30","0.015"
"/metrics","10:09:00","0.015"
"/metrics","10:09:30","0.007"
"/metrics","10:10:00","0.006"
"/metrics","10:10:30","0.002"
"/metrics","10:11:00","0.002"
"/metrics","10:11:30","0.001"
"/metrics","10:12:00","0.001"
"/metrics","10:12:30","0.001"
Other,"09:57:30",0
Other,"09:58:00",0
Other,"09:58:30",0
Other,"09:59:00",0
Other,"09:59:30",0
Other,"10:00:00",0
Other,"10:00:30",0
Other,"10:01:00",0
Other,"10:01:30",0
Other,"10:02:00",0
Other,"10:02:30",0
Other,"10:03:00","0.002"
Other,"10:03:30","0.002"
Other,"10:04:00",0
Other,"10:04:30",0
Other,"10:05:00",0
Other,"10:05:30","0.001"
Other,"10:06:00","0.001"
Other,"10:06:30","0.001"
Other,"10:07:00",0
Other,"10:07:30",0
Other,"10:08:00",0
Other,"10:08:30",0
Other,"10:09:00",0
Other,"10:09:30",0
Other,"10:10:00","0.002"
Other,"10:10:30","0.002"
Other,"10:11:00","0.002"
Other,"10:11:30",0
Other,"10:12:00","0.001"
Other,"10:12:30",0
