"Top values of prometheus.labels.route","@timestamp per 30 seconds","Maximum of prometheus.metrics.ktor_http_server_requests_seconds_count","Rate of requests","Rate of requests"
"/convert","10:21:00",345,,
"/convert","10:21:30",345,"0/s","0/s"
"/convert","10:22:00",345,"0/s","0/s"
"/convert","10:22:30",345,"0/s","0/s"
"/convert","10:23:00",345,"0/s","0/s"
"/convert","10:23:30",345,"0/s","0/s"
"/convert","10:24:00",345,"0/s","0/s"
"/convert","10:24:30",412,"2.233/s","2.233/s"
"/convert","10:25:00",490,"2.6/s","2.6/s"
"/convert","10:25:30",565,"2.5/s","2.5/s"
"/convert","10:26:00",641,"2.533/s","2.533/s"
"/convert","10:26:30",715,"2.467/s","2.467/s"
"/convert","10:27:00",787,"2.4/s","2.4/s"
"/convert","10:27:30","1,028","8.033/s","8.033/s"
"/convert","10:28:00","1,276","8.267/s","8.267/s"
"/convert","10:28:30","1,542","8.867/s","8.867/s"
"/convert","10:29:00","1,798","8.533/s","8.533/s"
"/convert","10:29:30","2,077","9.3/s","9.3/s"
"/convert","10:30:00","2,386","10.3/s","10.3/s"
"/convert","10:30:30","2,700","10.467/s","10.467/s"
"/convert","10:31:00","3,023","10.767/s","10.767/s"
"/convert","10:31:30","3,310","9.567/s","9.567/s"
"/convert","10:32:00","3,576","8.867/s","8.867/s"
"/convert","10:32:30","3,922","11.533/s","11.533/s"
"/convert","10:33:00","4,273","11.7/s","11.7/s"
"/convert","10:33:30","4,581","10.267/s","10.267/s"
"/convert","10:34:00","4,622","1.367/s","1.367/s"
"/convert","10:34:30","4,661","1.3/s","1.3/s"
"/convert","10:35:00","4,700","1.3/s","1.3/s"
"/convert","10:35:30","4,723","0.767/s","0.767/s"
"/convert","10:36:00","4,723","0/s","0/s"
"/frontend/","10:21:00",1,,
"/frontend/","10:21:30",1,"0/s","0/s"
"/frontend/","10:22:00",1,"0/s","0/s"
"/frontend/","10:22:30",1,"0/s","0/s"
"/frontend/","10:23:00",1,"0/s","0/s"
"/frontend/","10:23:30",1,"0/s","0/s"
"/frontend/","10:24:00",1,"0/s","0/s"
"/frontend/","10:24:30",1,"0/s","0/s"
"/frontend/","10:25:00",1,"0/s","0/s"
"/frontend/","10:25:30",1,"0/s","0/s"
"/frontend/","10:26:00",1,"0/s","0/s"
"/frontend/","10:26:30",1,"0/s","0/s"
"/frontend/","10:27:00",1,"0/s","0/s"
