"Top values of prometheus.labels.route","@timestamp per 30 seconds","99th percentile (seconds)"
"/frontend/checkout-payment","10:21:00",0
"/frontend/checkout-payment","10:21:30",0
"/frontend/checkout-payment","10:22:00",0
"/frontend/checkout-payment","10:22:30",0
"/frontend/checkout-payment","10:23:00",0
"/frontend/checkout-payment","10:23:30",0
"/frontend/checkout-payment","10:24:00",0
"/frontend/checkout-payment","10:24:30","0.721"
"/frontend/checkout-payment","10:25:00","0.789"
"/frontend/checkout-payment","10:25:30","0.688"
"/frontend/checkout-payment","10:26:00","0.721"
"/frontend/checkout-payment","10:26:30","0.721"
"/frontend/checkout-payment","10:27:00","0.688"
"/frontend/checkout-payment","10:27:30","1.124"
"/frontend/checkout-payment","10:28:00","1.057"
"/frontend/checkout-payment","10:28:30","0.99"
"/frontend/checkout-payment","10:29:00","1.023"
"/frontend/checkout-payment","10:29:30","1.124"
"/frontend/checkout-payment","10:30:00","1.191"
"/frontend/checkout-payment","10:30:30","1.191"
"/frontend/checkout-payment","10:31:00","1.124"
"/frontend/checkout-payment","10:31:30","1.124"
"/frontend/checkout-payment","10:32:00","1.124"
"/frontend/checkout-payment","10:32:30","1.191"
"/frontend/checkout-payment","10:33:00","1.191"
"/frontend/checkout-payment","10:33:30","1.191"
"/frontend/checkout-payment","10:34:00","1.191"
"/frontend/checkout-payment","10:34:30","1.258"
"/frontend/checkout-payment","10:35:00","0.721"
"/frontend/checkout-payment","10:35:30","0.688"
"/frontend/checkout-payment","10:36:00","0.688"
"/payments","10:21:00",0
"/payments","10:21:30",0
"/payments","10:22:00",0
"/payments","10:22:30",0
"/payments","10:23:00",0
"/payments","10:23:30",0
"/payments","10:24:00",0
"/payments","10:24:30","0.621"
"/payments","10:25:00","0.688"
"/payments","10:25:30","0.621"
"/payments","10:26:00","0.621"
"/payments","10:26:30","0.621"
"/payments","10:27:00","0.621"
"/payments","10:27:30","0.654"
"/payments","10:28:00","0.688"
"/payments","10:28:30","0.688"
"/payments","10:29:00","0.688"
"/payments","10:29:30","0.755"
"/payments","10:30:00","0.755"
"/payments","10:30:30","0.755"
"/payments","10:31:00","0.721"
"/payments","10:31:30","0.721"
"/payments","10:32:00","0.688"
"/payments","10:32:30","0.721"
"/payments","10:33:00","0.721"
"/payments","10:33:30","0.721"
"/payments","10:34:00","0.721"
"/payments","10:34:30","0.688"
"/payments","10:35:00","0.654"
"/payments","10:35:30","0.621"
"/payments","10:36:00","0.621"
"/shipments","10:21:00",0
"/shipments","10:21:30",0
"/shipments","10:22:00",0
"/shipments","10:22:30",0
"/shipments","10:23:00",0
"/shipments","10:23:30",0
"/shipments","10:24:00","0.113"
"/shipments","10:24:30","0.138"
"/shipments","10:25:00","0.126"
"/shipments","10:25:30","0.138"
"/shipments","10:26:00","0.126"
"/shipments","10:26:30","0.122"
"/shipments","10:27:00","0.122"
"/shipments","10:27:30","0.122"
"/shipments","10:28:00","0.124"
"/shipments","10:28:30","0.124"
"/shipments","10:29:00","0.122"
"/shipments","10:29:30","0.122"
"/shipments","10:30:00","0.122"
"/shipments","10:30:30","0.122"
"/shipments","10:31:00","0.117"
"/shipments","10:31:30","0.117"
"/shipments","10:32:00","0.117"
"/shipments","10:32:30","0.128"
"/shipments","10:33:00","0.124"
"/shipments","10:33:30","0.124"
"/shipments","10:34:00","0.13"
"/shipments","10:34:30","0.13"
"/shipments","10:35:00","0.122"
"/shipments","10:35:30","0.117"
Other,"10:21:00","0.002"
Other,"10:21:30","0.004"
Other,"10:22:00","0.005"
Other,"10:22:30","0.002"
Other,"10:23:00","0.002"
Other,"10:23:30","0.003"
Other,"10:24:00","0.055"
Other,"10:24:30","0.113"
Other,"10:25:00","0.122"
Other,"10:25:30","0.122"
Other,"10:26:00","0.121"
Other,"10:26:30","0.121"
Other,"10:27:00","0.122"
Other,"10:27:30","0.122"
Other,"10:28:00","0.122"
Other,"10:28:30","0.122"
Other,"10:29:00","0.125"
Other,"10:29:30","0.122"
Other,"10:30:00","0.126"
Other,"10:30:30","0.122"
Other,"10:31:00","0.126"
Other,"10:31:30","0.123"
Other,"10:32:00","0.12"
Other,"10:32:30","0.122"
Other,"10:33:00","0.122"
Other,"10:33:30","0.122"
Other,"10:34:00","0.126"
Other,"10:34:30","0.125"
Other,"10:35:00","0.128"
Other,"10:35:30","0.124"
Other,"10:36:00","0.122"
