"Top values of prometheus.labels.status","@timestamp per 30 seconds","Maximum of prometheus.metrics.ktor_http_server_requests_seconds_count","requests per status code","requests per status code"
200,"13:29:00","363,791",,
200,"13:29:30","363,804","0.433/s","0.433/s"
200,"13:30:00","363,818","0.467/s","0.467/s"
200,"13:30:30","363,831","0.433/s","0.433/s"
200,"13:31:00","363,845","0.467/s","0.467/s"
200,"13:31:30","363,858","0.433/s","0.433/s"
200,"13:32:00","363,872","0.467/s","0.467/s"
200,"13:32:30","363,885","0.433/s","0.433/s"
200,"13:33:00","363,899","0.467/s","0.467/s"
200,"13:33:30","363,912","0.433/s","0.433/s"
200,"13:34:00","363,926","0.467/s","0.467/s"
200,"13:34:30","363,939","0.433/s","0.433/s"
200,"13:35:00","363,953","0.467/s","0.467/s"
200,"13:35:30","363,966","0.433/s","0.433/s"
200,"13:36:00","363,980","0.467/s","0.467/s"
200,"13:36:30","363,992","0.4/s","0.4/s"
200,"13:37:00","364,007","0.5/s","0.5/s"
200,"13:37:30","364,020","0.433/s","0.433/s"
200,"13:38:00","364,034","0.467/s","0.467/s"
200,"13:38:30","364,047","0.433/s","0.433/s"
200,"13:39:00","364,061","0.467/s","0.467/s"
200,"13:39:30","364,074","0.433/s","0.433/s"
200,"13:40:00","364,088","0.467/s","0.467/s"
200,"13:40:30","364,101","0.433/s","0.433/s"
200,"13:41:00","364,115","0.467/s","0.467/s"
200,"13:41:30","364,128","0.433/s","0.433/s"
200,"13:42:00","364,142","0.467/s","0.467/s"
200,"13:42:30","364,155","0.433/s","0.433/s"
200,"13:43:00","364,169","0.467/s","0.467/s"
200,"13:43:30","364,182","0.433/s","0.433/s"
200,"13:44:00","364,196","0.467/s","0.467/s"
200,"13:44:30","364,209","0.433/s","0.433/s"
200,"13:45:00","364,223","0.467/s","0.467/s"
200,"13:45:30","364,236","0.433/s","0.433/s"
200,"13:46:00","364,250","0.467/s","0.467/s"
200,"13:46:30","364,263","0.433/s","0.433/s"
200,"13:47:00","364,277","0.467/s","0.467/s"
200,"13:47:30","364,290","0.433/s","0.433/s"
200,"13:48:00","364,304","0.467/s","0.467/s"
200,"13:48:30","364,317","0.433/s","0.433/s"
200,"13:49:00","364,331","0.467/s","0.467/s"
200,"13:49:30","364,344","0.433/s","0.433/s"
200,"13:50:00","364,358","0.467/s","0.467/s"
200,"13:50:30","364,371","0.433/s","0.433/s"
200,"13:51:00","364,385","0.467/s","0.467/s"
200,"13:51:30","364,398","0.433/s","0.433/s"
200,"13:52:00","364,412","0.467/s","0.467/s"
200,"13:52:30","364,425","0.433/s","0.433/s"
200,"13:53:00","364,439","0.467/s","0.467/s"
200,"13:53:30","364,452","0.433/s","0.433/s"
200,"13:54:00","364,466","0.467/s","0.467/s"
200,"13:54:30","364,479","0.433/s","0.433/s"
200,"13:55:00","364,493","0.467/s","0.467/s"
200,"13:55:30","364,506","0.433/s","0.433/s"
200,"13:56:00","364,520","0.467/s","0.467/s"
200,"13:56:30","364,533","0.433/s","0.433/s"
200,"13:57:00","364,547","0.467/s","0.467/s"
200,"13:57:30","364,560","0.433/s","0.433/s"
200,"13:58:00","364,574","0.467/s","0.467/s"
200,"13:58:30","364,587","0.506/s","0.506/s"
404,"13:29:00",1,,
404,"13:29:30",1,"0/s","0/s"
404,"13:30:00",1,"0/s","0/s"
404,"13:30:30",1,"0/s","0/s"
404,"13:31:00",1,"0/s","0/s"
404,"13:31:30",1,"0/s","0/s"
404,"13:32:00",1,"0/s","0/s"
404,"13:32:30",1,"0/s","0/s"
404,"13:33:00",1,"0/s","0/s"
404,"13:33:30",1,"0/s","0/s"
404,"13:34:00",1,"0/s","0/s"
404,"13:34:30",1,"0/s","0/s"
404,"13:35:00",1,"0/s","0/s"
404,"13:35:30",1,"0/s","0/s"
404,"13:36:00",1,"0/s","0/s"
404,"13:36:30",1,"0/s","0/s"
404,"13:37:00",1,"0/s","0/s"
404,"13:37:30",1,"0/s","0/s"
404,"13:38:00",1,"0/s","0/s"
404,"13:38:30",1,"0/s","0/s"
404,"13:39:00",1,"0/s","0/s"
404,"13:39:30",1,"0/s","0/s"
404,"13:40:00",1,"0/s","0/s"
404,"13:40:30",1,"0/s","0/s"
404,"13:41:00",1,"0/s","0/s"
404,"13:41:30",1,"0/s","0/s"
404,"13:42:00",1,"0/s","0/s"
404,"13:42:30",1,"0/s","0/s"
404,"13:43:00",1,"0/s","0/s"
404,"13:43:30",1,"0/s","0/s"
404,"13:44:00",1,"0/s","0/s"
404,"13:44:30",1,"0/s","0/s"
404,"13:45:00",1,"0/s","0/s"
404,"13:45:30",1,"0/s","0/s"
404,"13:46:00",1,"0/s","0/s"
404,"13:46:30",1,"0/s","0/s"
404,"13:47:00",1,"0/s","0/s"
404,"13:47:30",1,"0/s","0/s"
404,"13:48:00",1,"0/s","0/s"
404,"13:48:30",1,"0/s","0/s"
404,"13:49:00",1,"0/s","0/s"
404,"13:49:30",1,"0/s","0/s"
404,"13:50:00",1,"0/s","0/s"
404,"13:50:30",1,"0/s","0/s"
404,"13:51:00",1,"0/s","0/s"
404,"13:51:30",1,"0/s","0/s"
404,"13:52:00",1,"0/s","0/s"
404,"13:52:30",1,"0/s","0/s"
404,"13:53:00",1,"0/s","0/s"
404,"13:53:30",1,"0/s","0/s"
404,"13:54:00",1,"0/s","0/s"
404,"13:54:30",1,"0/s","0/s"
404,"13:55:00",1,"0/s","0/s"
404,"13:55:30",1,"0/s","0/s"
404,"13:56:00",1,"0/s","0/s"
404,"13:56:30",1,"0/s","0/s"
404,"13:57:00",1,"0/s","0/s"
404,"13:57:30",1,"0/s","0/s"
404,"13:58:00",1,"0/s","0/s"
404,"13:58:30",1,"0/s","0/s"
500,"13:29:00",26,,
500,"13:29:30",26,"0/s","0/s"
500,"13:30:00",26,"0/s","0/s"
500,"13:30:30",26,"0/s","0/s"
500,"13:31:00",26,"0/s","0/s"
500,"13:31:30",26,"0/s","0/s"
500,"13:32:00",26,"0/s","0/s"
500,"13:32:30",26,"0/s","0/s"
500,"13:33:00",26,"0/s","0/s"
500,"13:33:30",26,"0/s","0/s"
500,"13:34:00",26,"0/s","0/s"
500,"13:34:30",26,"0/s","0/s"
500,"13:35:00",26,"0/s","0/s"
500,"13:35:30",26,"0/s","0/s"
500,"13:36:00",26,"0/s","0/s"
500,"13:36:30",26,"0/s","0/s"
