"Top values of kubernetes.deployment.name","@timestamp per 30 seconds","95th percentile of pod memory usage (RSS)"
"currency-service","13:20:30",
"currency-service","13:21:00","297.73MB"
"currency-service","13:21:30","297.73MB"
"currency-service","13:22:00","297.73MB"
"currency-service","13:22:30","297.73MB"
"currency-service","13:23:00","297.73MB"
"currency-service","13:23:30","297.73MB"
"currency-service","13:24:00","297.73MB"
"currency-service","13:24:30","297.73MB"
"currency-service","13:25:00","297.73MB"
"currency-service","13:25:30","297.73MB"
"currency-service","13:26:00","297.73MB"
"currency-service","13:26:30","297.73MB"
"currency-service","13:27:00","297.73MB"
"currency-service","13:27:30","297.73MB"
"currency-service","13:28:00","297.73MB"
"currency-service","13:28:30","297.73MB"
"currency-service","13:29:00","297.73MB"
"currency-service","13:29:30","297.73MB"
"currency-service","13:30:00","297.73MB"
"currency-service","13:30:30","297.73MB"
"currency-service","13:31:00","297.73MB"
"currency-service","13:31:30","297.73MB"
"currency-service","13:32:00","297.73MB"
"currency-service","13:32:30","297.73MB"
"currency-service","13:33:00","297.65MB"
"currency-service","13:33:30","297.65MB"
"currency-service","13:34:00","297.65MB"
"currency-service","13:34:30","297.65MB"
"currency-service","13:35:00","298.68MB"
"currency-service","13:35:30","299.45MB"
"currency-service","13:36:00","300.61MB"
"currency-service","13:36:30","301.90MB"
"currency-service","13:37:00","302.03MB"
"currency-service","13:37:30","302.03MB"
"currency-service","13:38:00","302.03MB"
"currency-service","13:38:30","311.15MB"
"currency-service","13:39:00","311.66MB"
"currency-service","13:39:30","394.29MB"
"currency-service","13:40:00","394.29MB"
"currency-service","13:40:30","396.21MB"
"currency-service","13:41:00","396.21MB"
"currency-service","13:41:30","396.21MB"
"currency-service","13:42:00","396.21MB"
"currency-service","13:42:30","396.21MB"
"currency-service","13:43:00","396.21MB"
"currency-service","13:43:30","396.77MB"
"currency-service","13:44:00","396.77MB"
"currency-service","13:44:30","396.77MB"
"currency-service","13:45:00","132.96MB"
"currency-service","13:45:30","133.48MB"
"currency-service","13:46:00","133.61MB"
"currency-service","13:46:30","133.73MB"
"currency-service","13:47:00","134.51MB"
"currency-service","13:47:30","134.51MB"
"currency-service","13:48:00","134.89MB"
"currency-service","13:48:30","135.41MB"
"currency-service","13:49:00","135.54MB"
"currency-service","13:49:30","135.54MB"
"currency-service","13:50:00","135.93MB"
"currency-service","13:50:30","136.05MB"
frontend,"13:20:30",
frontend,"13:21:00","192.28MB"
frontend,"13:21:30","192.28MB"
frontend,"13:22:00","192.28MB"
frontend,"13:22:30","192.28MB"
frontend,"13:23:00","192.28MB"
frontend,"13:23:30","192.28MB"
frontend,"13:24:00","192.28MB"
frontend,"13:24:30","192.28MB"
frontend,"13:25:00","192.28MB"
frontend,"13:25:30","192.28MB"
frontend,"13:26:00","192.28MB"
frontend,"13:26:30","192.28MB"
frontend,"13:27:00","192.28MB"
frontend,"13:27:30","192.28MB"
frontend,"13:28:00","192.28MB"
frontend,"13:28:30","192.28MB"
frontend,"13:29:00","192.28MB"
frontend,"13:29:30","192.28MB"
frontend,"13:30:00","192.28MB"
frontend,"13:30:30","192.28MB"
frontend,"13:31:00","192.28MB"
frontend,"13:31:30","192.28MB"
frontend,"13:32:00","192.28MB"
frontend,"13:32:30","192.28MB"
frontend,"13:33:00","192.28MB"
frontend,"13:33:30","192.28MB"
frontend,"13:34:00","192.28MB"
frontend,"13:34:30","192.28MB"
frontend,"13:35:00","192.79MB"
frontend,"13:35:30","192.79MB"
frontend,"13:36:00","192.79MB"
frontend,"13:36:30","192.79MB"
frontend,"13:37:00","192.79MB"
frontend,"13:37:30","192.79MB"
frontend,"13:38:00","192.50MB"
frontend,"13:38:30","192.63MB"
frontend,"13:39:00","192.63MB"
frontend,"13:39:30","192.76MB"
frontend,"13:40:00","192.76MB"
frontend,"13:40:30","193.14MB"
frontend,"13:41:00","193.14MB"
frontend,"13:41:30","193.14MB"
frontend,"13:42:00","192.71MB"
frontend,"13:42:30","192.71MB"
frontend,"13:43:00","192.71MB"
frontend,"13:43:30","192.71MB"
frontend,"13:44:00","192.71MB"
frontend,"13:44:30","192.71MB"
frontend,"13:45:00","192.71MB"
frontend,"13:45:30","192.71MB"
frontend,"13:46:00","192.71MB"
frontend,"13:46:30","192.71MB"
frontend,"13:47:00","192.71MB"
frontend,"13:47:30","192.71MB"
frontend,"13:48:00","192.84MB"
frontend,"13:48:30","192.84MB"
frontend,"13:49:00","192.84MB"
frontend,"13:49:30","192.84MB"
frontend,"13:50:00","192.84MB"
frontend,"13:50:30","192.84MB"
