"Top values of prometheus.labels.route","@timestamp per 30 seconds","99th percentile (seconds)"
"/frontend/checkout-payment","17:13:00",0
"/frontend/checkout-payment","17:13:30",0
"/frontend/checkout-payment","17:14:00",0
"/frontend/checkout-payment","17:14:30",0
"/frontend/checkout-payment","17:15:00",0
"/frontend/checkout-payment","17:15:30",0
"/frontend/checkout-payment","17:16:00",0
"/frontend/checkout-payment","17:16:30",0
"/frontend/checkout-payment","17:17:00",0
"/frontend/checkout-payment","17:17:30","0.789"
"/frontend/checkout-payment","17:18:00","0.789"
"/frontend/checkout-payment","17:18:30","0.688"
"/frontend/checkout-payment","17:19:00","0.688"
"/frontend/checkout-payment","17:19:30","0.688"
"/frontend/checkout-payment","17:20:00","0.688"
"/frontend/checkout-payment","17:20:30","0.688"
"/frontend/checkout-payment","17:21:00","0.721"
"/frontend/checkout-payment","17:21:30","0.688"
"/frontend/checkout-payment","17:22:00","0.688"
"/frontend/checkout-payment","17:22:30","0.688"
"/frontend/checkout-payment","17:23:00","2.953"
"/frontend/checkout-payment","17:23:30","2.953"
"/frontend/checkout-payment","17:24:00","2.953"
"/frontend/checkout-payment","17:24:30","2.953"
"/frontend/checkout-payment","17:25:00","2.953"
"/frontend/checkout-payment","17:25:30","2.953"
"/frontend/checkout-payment","17:26:00","2.953"
"/frontend/checkout-payment","17:26:30","2.953"
"/frontend/checkout-payment","17:27:00","2.953"
"/frontend/checkout-payment","17:27:30","2.953"
"/frontend/checkout-payment","17:28:00","3.087"
"/frontend/checkout-payment","17:28:30","3.087"
"/frontend/checkout-payment","17:29:00","3.087"
"/frontend/checkout-payment","17:29:30","3.087"
"/frontend/checkout-payment","17:30:00","2.953"
"/frontend/checkout-payment","17:30:30","3.087"
"/frontend/checkout-payment","17:31:00","3.087"
"/frontend/checkout-payment","17:31:30","2.953"
"/frontend/checkout-payment","17:32:00","2.953"
"/frontend/checkout-payment","17:32:30",0
"/frontend/checkout-payment","17:33:00",0
"/frontend/checkout-payment","17:33:30",0
"/frontend/checkout-payment","17:34:00",0
"/frontend/checkout-payment","17:34:30",0
"/frontend/checkout-payment","17:35:00",0
"/frontend/checkout-payment","17:35:30",0
"/frontend/checkout-payment","17:36:00",0
"/frontend/checkout-payment","17:36:30",0
"/frontend/checkout-payment","17:37:00",0
"/frontend/checkout-payment","17:37:30",0
"/frontend/checkout-payment","17:38:00",0
"/frontend/checkout-payment","17:38:30",0
"/payments","17:17:30","0.3"
