"Top values of prometheus.labels.status","@timestamp per 30 seconds","Maximum of prometheus.metrics.ktor_http_server_requests_seconds_count","requests per status code","requests per status code"
200,"17:13:00","369,838",,
200,"17:13:30","369,851","0.433/s","0.433/s"
200,"17:14:00","369,865","0.467/s","0.467/s"
200,"17:14:30","369,878","0.433/s","0.433/s"
200,"17:15:00","369,892","0.467/s","0.467/s"
200,"17:15:30","369,905","0.433/s","0.433/s"
200,"17:16:00","369,919","0.467/s","0.467/s"
200,"17:16:30","369,932","0.433/s","0.433/s"
200,"17:17:00","369,946","0.467/s","0.467/s"
200,"17:17:30","369,959","0.433/s","0.433/s"
200,"17:18:00","369,973","0.467/s","0.467/s"
200,"17:18:30","369,986","0.433/s","0.433/s"
200,"17:19:00","370,000","0.467/s","0.467/s"
200,"17:19:30","370,013","0.433/s","0.433/s"
200,"17:20:00","370,027","0.467/s","0.467/s"
200,"17:20:30","370,039","0.4/s","0.4/s"
200,"17:21:00","370,054","0.5/s","0.5/s"
200,"17:21:30","370,066","0.4/s","0.4/s"
200,"17:22:00","370,080","0.467/s","0.467/s"
200,"17:22:30","370,093","0.433/s","0.433/s"
200,"17:23:00","370,109","0.533/s","0.533/s"
200,"17:23:30","370,120","0.367/s","0.367/s"
200,"17:24:00","370,135","0.5/s","0.5/s"
200,"17:24:30","370,147","0.4/s","0.4/s"
200,"17:25:00","370,162","0.5/s","0.5/s"
200,"17:25:30","370,174","0.4/s","0.4/s"
200,"17:26:00","370,189","0.5/s","0.5/s"
200,"17:26:30","370,201","0.4/s","0.4/s"
200,"17:27:00","370,215","0.467/s","0.467/s"
200,"17:27:30","370,228","0.433/s","0.433/s"
200,"17:28:00","370,242","0.467/s","0.467/s"
200,"17:28:30","370,256","0.467/s","0.467/s"
200,"17:29:00","370,269","0.433/s","0.433/s"
200,"17:29:30","370,285","0.533/s","0.533/s"
200,"17:30:00","370,296","0.367/s","0.367/s"
200,"17:30:30","370,309","0.433/s","0.433/s"
200,"17:31:00","370,323","0.467/s","0.467/s"
200,"17:31:30","370,336","0.433/s","0.433/s"
200,"17:32:00","370,350","0.467/s","0.467/s"
200,"17:32:30","370,363","0.433/s","0.433/s"
200,"17:33:00","370,377","0.467/s","0.467/s"
200,"17:33:30","370,390","0.433/s","0.433/s"
200,"17:34:00","370,404","0.467/s","0.467/s"
200,"17:34:30","370,417","0.433/s","0.433/s"
200,"17:35:00","370,431","0.467/s","0.467/s"
200,"17:35:30","370,444","0.433/s","0.433/s"
200,"17:36:00","370,458","0.467/s","0.467/s"
200,"17:36:30","370,471","0.433/s","0.433/s"
200,"17:37:00","370,485","0.467/s","0.467/s"
200,"17:37:30","370,498","0.433/s","0.433/s"
200,"17:38:00","370,512","0.467/s","0.467/s"
200,"17:38:30","370,525","0.456/s","0.456/s"
404,"17:13:00",1,,
404,"17:13:30",1,"0/s","0/s"
404,"17:14:00",1,"0/s","0/s"
404,"17:14:30",1,"0/s","0/s"
404,"17:15:00",1,"0/s","0/s"
404,"17:15:30",1,"0/s","0/s"
404,"17:16:00",1,"0/s","0/s"
404,"17:16:30",1,"0/s","0/s"
404,"17:17:00",1,"0/s","0/s"
404,"17:17:30",1,"0/s","0/s"
404,"17:18:00",1,"0/s","0/s"
404,"17:18:30",1,"0/s","0/s"
404,"17:19:00",1,"0/s","0/s"
404,"17:19:30",1,"0/s","0/s"
404,"17:20:00",1,"0/s","0/s"
404,"17:20:30",1,"0/s","0/s"
404,"17:21:00",1,"0/s","0/s"
404,"17:21:30",1,"0/s","0/s"
404,"17:22:00",1,"0/s","0/s"
404,"17:22:30",1,"0/s","0/s"
404,"17:23:00",1,"0/s","0/s"
404,"17:23:30",1,"0/s","0/s"
404,"17:24:00",1,"0/s","0/s"
404,"17:24:30",1,"0/s","0/s"
404,"17:25:00",1,"0/s","0/s"
404,"17:25:30",1,"0/s","0/s"
404,"17:26:00",1,"0/s","0/s"
404,"17:26:30",1,"0/s","0/s"
404,"17:27:00",1,"0/s","0/s"
404,"17:27:30",1,"0/s","0/s"
404,"17:28:00",1,"0/s","0/s"
404,"17:28:30",1,"0/s","0/s"
404,"17:29:00",1,"0/s","0/s"
404,"17:29:30",1,"0/s","0/s"
404,"17:30:00",1,"0/s","0/s"
404,"17:30:30",1,"0/s","0/s"
404,"17:31:00",1,"0/s","0/s"
404,"17:31:30",1,"0/s","0/s"
404,"17:32:00",1,"0/s","0/s"
404,"17:32:30",1,"0/s","0/s"
404,"17:33:00",1,"0/s","0/s"
404,"17:33:30",1,"0/s","0/s"
404,"17:34:00",1,"0/s","0/s"
404,"17:34:30",1,"0/s","0/s"
404,"17:35:00",1,"0/s","0/s"
404,"17:35:30",1,"0/s","0/s"
404,"17:36:00",1,"0/s","0/s"
404,"17:36:30",1,"0/s","0/s"
404,"17:37:00",1,"0/s","0/s"
404,"17:37:30",1,"0/s","0/s"
404,"17:38:00",1,"0/s","0/s"
404,"17:38:30",1,"0/s","0/s"
500,"17:13:00",56,,
500,"17:13:30",56,"0/s","0/s"
500,"17:14:00",56,"0/s","0/s"
500,"17:14:30",56,"0/s","0/s"
500,"17:15:00",56,"0/s","0/s"
500,"17:15:30",56,"0/s","0/s"
500,"17:16:00",56,"0/s","0/s"
500,"17:16:30",56,"0/s","0/s"
500,"17:17:00",56,"0/s","0/s"
500,"17:17:30",56,"0/s","0/s"
500,"17:18:00",56,"0/s","0/s"
500,"17:18:30",56,"0/s","0/s"
500,"17:19:00",56,"0/s","0/s"
500,"17:19:30",56,"0/s","0/s"
500,"17:20:00",56,"0/s","0/s"
500,"17:20:30",56,"0/s","0/s"
500,"17:21:00",56,"0/s","0/s"
500,"17:21:30",56,"0/s","0/s"
500,"17:22:00",56,"0/s","0/s"
500,"17:22:30",56,"0/s","0/s"
500,"17:23:00",56,"0/s","0/s"
500,"17:23:30",56,"0/s","0/s"
500,"17:24:00",77,"0.7/s","0.7/s"
500,"17:24:30",99,"0.733/s","0.733/s"
500,"17:25:00",126,"0.9/s","0.9/s"
500,"17:25:30",148,"0.733/s","0.733/s"
500,"17:26:00",174,"0.867/s","0.867/s"
500,"17:26:30",197,"0.767/s","0.767/s"
500,"17:27:00",223,"0.867/s","0.867/s"
500,"17:27:30",244,"0.7/s","0.7/s"
500,"17:28:00",265,"0.7/s","0.7/s"
500,"17:28:30",292,"0.9/s","0.9/s"
500,"17:29:00",313,"0.7/s","0.7/s"
500,"17:29:30",339,"0.867/s","0.867/s"
500,"17:30:00",362,"0.767/s","0.767/s"
500,"17:30:30",386,"0.8/s","0.8/s"
500,"17:31:00",412,"0.867/s","0.867/s"
500,"17:31:30",430,"0.6/s","0.6/s"
500,"17:32:00",430,"0/s","0/s"
500,"17:32:30",430,"0/s","0/s"
500,"17:33:00",430,"0/s","0/s"
500,"17:33:30",430,"0/s","0/s"
500,"17:34:00",430,"0/s","0/s"
500,"17:34:30",430,"0/s","0/s"
500,"17:35:00",430,"0/s","0/s"
500,"17:35:30",430,"0/s","0/s"
500,"17:36:00",430,"0/s","0/s"
500,"17:36:30",430,"0/s","0/s"
500,"17:37:00",430,"0/s","0/s"
500,"17:37:30",430,"0/s","0/s"
500,"17:38:00",430,"0/s","0/s"
500,"17:38:30",430,"0/s","0/s"
