"Top values of kubernetes.deployment.name","@timestamp per 30 seconds","Available Replicas"
frontend,"19:07:00","1.00"
frontend,"19:07:30","1.00"
frontend,"19:08:00","1.00"
frontend,"19:08:30","1.00"
frontend,"19:09:00","1.00"
frontend,"19:09:30","1.00"
frontend,"19:10:00","1.00"
frontend,"19:10:30","1.00"
frontend,"19:11:00","1.00"
frontend,"19:11:30","1.00"
frontend,"19:12:00","1.00"
frontend,"19:12:30","1.00"
frontend,"19:13:00","1.00"
frontend,"19:13:30","1.00"
frontend,"19:14:00","1.00"
frontend,"19:14:30","1.00"
frontend,"19:15:00","1.00"
frontend,"19:15:30","1.00"
frontend,"19:16:00","1.00"
frontend,"19:16:30","1.00"
frontend,"19:17:00","1.00"
frontend,"19:17:30","1.00"
frontend,"19:18:00","1.00"
frontend,"19:18:30","1.00"
frontend,"19:19:00","1.00"
frontend,"19:19:30","1.00"
frontend,"19:20:00","1.00"
frontend,"19:20:30","1.00"
frontend,"19:21:00","1.00"
frontend,"19:21:30","1.00"
"payment-service","19:07:00","1.00"
"payment-service","19:07:30","1.00"
"payment-service","19:08:00","1.00"
"payment-service","19:08:30","1.00"
"payment-service","19:09:00","1.00"
"payment-service","19:09:30","1.00"
"payment-service","19:10:00","1.00"
"payment-service","19:10:30","1.00"
"payment-service","19:11:00","1.00"
"payment-service","19:11:30","1.00"
"payment-service","19:12:00","1.00"
"payment-service","19:12:30","1.00"
"payment-service","19:13:00","1.00"
"payment-service","19:13:30","1.00"
"payment-service","19:14:00","1.00"
"payment-service","19:14:30","1.00"
"payment-service","19:15:00","1.00"
"payment-service","19:15:30","1.00"
"payment-service","19:16:00","1.00"
"payment-service","19:16:30","1.00"
"payment-service","19:17:00","1.00"
"payment-service","19:17:30","1.00"
"payment-service","19:18:00","0.00"
"payment-service","19:18:30","1.00"
"payment-service","19:19:00","1.00"
"payment-service","19:19:30","1.00"
"payment-service","19:20:00","1.00"
"payment-service","19:20:30","1.00"
"payment-service","19:21:00","1.00"
"payment-service","19:21:30","1.00"
